,metric_TLuseoutofclass,metric_Gender,metric_postsojournOPI,metric_presojournOPI,metric_level gained,metric_FLcumulativecompetence,metric_general_cumulativecompet,context_learningoutofclassminday,psycho_motivationdegree,psycho_proficiencyingroup_BAL1,interact_classmates,interaction_groupintegration,improv_reading,improv_writing,improv_overall,improv_pron,improv_listening,improv_voc,improv_cult,improv_gmr,in_degree_weighted,in_degree,out_degree_weighted,out_degree,degree_weighted,degree,betweenness_weighted,betweenness,closeness,pagerank_weighhted,pagerank,voterank,clustering_coefficient
1,0.75,male,0.7272727272727273,0.5454545454545454,0.18181818181818182,15.0,21.0,0.041666666666666664,1.0,0.3333333333333333,0.8,0.8,1.0,0.8,0.8,0.4,,1.0,0.6,1.0,3.0,3,3.0,5,6.0,8,0.013461538461538462,0.013574481074481073,0.075,0.01738210795049363,0.011088906340765061,0.0,0.52
2,1.0,male,0.6363636363636364,0.36363636363636365,0.2727272727272727,6.0,12.0,0.16666666666666666,0.8,0.6666666666666666,0.6,0.8,0.8,0.2,0.4,0.6,,0.6,1.0,0.0,5.6000000000000005,9,3.0,5,8.600000000000001,14,0.20694444444444443,0.21588776963776957,0.40561797752808987,0.05099824411764413,0.047888955736910925,1.0,0.4186046511627907
3,1.0,male,0.6363636363636364,0.36363636363636365,0.2727272727272727,3.0,9.0,0.0625,0.8,0.6666666666666666,0.2,0.6,0.8,0.6,0.8,0.6,,1.0,0.8,0.2,3.0,5,3.0,5,6.0,10,0.02580128205128205,0.020202991452991453,0.3438095238095238,0.022213992058669457,0.029594241667034074,2.0,0.35714285714285715
4,0.15789473684210525,female,0.5454545454545454,0.45454545454545453,0.09090909090909091,6.0,12.0,0.125,0.8,1.0,0.85,0.8,0.6,0.8,0.8,0.6,,1.0,1.0,0.2,1.0,1,3.0,5,4.0,6,0.007051282051282051,0.00905067155067155,0.19944751381215467,0.006039410900979235,0.005954733486375804,3.0,0.14285714285714285
5,0.2727272727272727,male,0.6363636363636364,0.6363636363636364,0.0,3.0,9.0,0.125,1.0,0.6666666666666666,0.7,0.8,1.0,0.6,0.8,0.6,,0.6,1.0,0.8,5.0,6,3.0,5,8.0,11,0.05251068376068376,0.04853632478632478,0.3311926605504587,0.04273889107125167,0.037512394752915026,8.0,0.4519230769230769
6,0.5,female,0.5454545454545454,0.45454545454545453,0.09090909090909091,5.0,11.0,0.125,0.8,0.6666666666666666,0.6,0.4,0.6,0.8,0.6,0.6,,0.8,1.0,0.4,3.4000000000000004,6,3.0,5,6.4,11,0.030544871794871798,0.019350834350834345,0.33425925925925926,0.04149286169263122,0.03799320615642803,10.0,0.7
7,0.5,male,0.6363636363636364,0.45454545454545453,0.18181818181818182,8.0,14.0,0.1388888888888889,1.0,0.6666666666666666,0.6,0.6,1.0,0.8,0.8,0.6,,0.8,1.0,0.6,2.6,3,3.0,5,5.6,8,0.10091880341880342,0.11148351648351648,0.2375,0.015696218216028263,0.013042583043406806,5.0,0.28
8,0.4,female,0.6363636363636364,0.45454545454545453,0.18181818181818182,6.0,12.0,0.041666666666666664,0.4,0.6666666666666666,0.5,0.8,0.6,0.4,0.6,0.6,,0.8,0.8,0.4,2.0,3,2.8,4,4.8,7,0.01324786324786325,0.014955738705738707,0.075,0.013556525204938632,0.010700220455996367,23.0,0.6666666666666666
9,1.0,female,0.7272727272727273,0.36363636363636365,0.36363636363636365,8.5,14.5,0.16666666666666666,0.6,0.6666666666666666,0.7,0.6,0.8,0.8,0.6,0.6,,0.6,0.8,0.4,3.8,5,3.0,5,6.8,10,0.00641025641025641,0.006623931623931625,0.24896551724137933,0.04324497942885113,0.03713393950103592,11.0,0.6
10,1.0,female,0.45454545454545453,0.36363636363636365,0.09090909090909091,3.0,9.0,0.06944444444444445,1.0,1.0,0.8,0.8,0.2,0.8,0.8,0.6,,0.6,0.8,0.4,2.0,5,2.8,4,4.8,9,0.010256410256410256,0.005502136752136752,0.254225352112676,0.022298451048380196,0.030224789969728605,17.0,0.6363636363636364
11,0.5,male,0.6363636363636364,0.5454545454545454,0.09090909090909091,13.5,19.5,0.0625,0.6,0.6666666666666666,0.75,0.6,0.4,0.8,0.6,0.6,,0.8,0.8,0.4,2.6,5,0.0,0,2.6,5,0.0,0.0,0.23045454545454544,0.009869299518434016,0.012665240993185573,,0.25
12,1.0,male,0.7272727272727273,0.6363636363636364,0.09090909090909091,7.0,13.0,0.0625,1.0,0.3333333333333333,0.6,1.0,0.4,0.4,0.6,0.8,,0.8,0.2,0.6,4.2,7,3.0,5,7.2,12,0.06346153846153846,0.016214896214896215,0.34056603773584904,0.04579851520051429,0.048009928238729814,,0.45901639344262296
13,0.2727272727272727,male,0.6363636363636364,0.45454545454545453,0.18181818181818182,12.0,18.0,0.125,0.4,0.6666666666666666,0.4,0.4,0.4,0.4,0.6,0.6,,0.4,0.8,0.2,1.8,2,3.0,5,4.8,7,0.0,0.00476037851037851,0.25971223021582734,0.01772960072695638,0.011799771089887653,,0.525
14,0.5454545454545454,male,0.6363636363636364,0.36363636363636365,0.2727272727272727,6.0,12.0,0.08333333333333333,1.0,0.6666666666666666,0.3,0.6,0.8,0.8,0.6,0.4,,0.8,1.0,0.2,2.2,3,3.0,5,5.2,8,0.03162393162393162,0.03420482295482296,0.075,0.014355260011560546,0.011088906340765061,,0.52
15,0.3103448275862069,male,0.7272727272727273,0.6363636363636364,0.09090909090909091,10.0,16.0,0.08333333333333333,0.8,0.3333333333333333,0.75,0.8,0.8,0.6,0.6,0.8,,0.6,0.8,0.2,2.2,6,3.0,5,5.2,11,0.12835470085470085,0.17009106634106627,0.3881720430107527,0.021132285873984434,0.03458879364955342,,0.15384615384615385
16,0.2857142857142857,male,0.6363636363636364,0.5454545454545454,0.09090909090909091,11.0,17.0,0.08333333333333333,0.8,0.3333333333333333,0.7,1.0,0.8,0.6,0.8,0.6,,1.0,0.8,0.4,1.4,2,2.4000000000000004,3,3.8000000000000003,5,0.07222222222222223,0.0896825396825397,0.24726027397260272,0.008374999322238594,0.009521684776919236,18.0,0.125
17,0.29411764705882354,female,0.5454545454545454,0.45454545454545453,0.09090909090909091,10.0,16.0,0.1111111111111111,0.6,0.6666666666666666,0.85,0.2,0.8,0.4,0.8,0.8,,0.8,1.0,0.4,1.6,2,0.0,0,1.6,2,0.0,0.0,0.2089285714285714,0.0070021195402802956,0.00696702585241142,,1.0
18,0.6666666666666666,female,0.6363636363636364,0.36363636363636365,0.2727272727272727,3.0,9.0,0.041666666666666664,0.8,0.6666666666666666,0.5,0.0,1.0,0.4,0.6,0.6,,0.8,1.0,0.4,1.0,2,3.0,5,4.0,7,0.03669871794871795,0.03458180708180708,0.17960199004975125,0.007108985324065915,0.00798276658175248,7.0,0.21428571428571427
19,0.2727272727272727,female,0.5454545454545454,0.45454545454545453,0.09090909090909091,3.0,9.0,0.16666666666666666,0.8,0.6666666666666666,0.7,0.8,0.4,0.6,0.4,0.4,,0.6,0.8,0.4,3.0,4,3.0,5,6.0,9,0.0459508547008547,0.0027640415140415143,0.3194690265486726,0.04013718861692079,0.029745839695477987,,0.84375
