,metric_TLuseoutofclass,metric_Gender,metric_postsojournOPI,metric_presojournOPI,metric_level gained,metric_FLcumulativecompetence,metric_general_cumulativecompet,context_learningoutofclassminday,psycho_motivationdegree,psycho_proficiencyingroup_BAL1,interact_classmates,interaction_groupintegration,living_sum_flatmates,metric_youngersiblings,202_final,202conv,prog202conv,202sqr,prog202sqr,avgOPI_202,progOPI_202,avgOPI202sq,progOPI202sqr,metric_FLcumulative_wo_AR,improv_cult,improv_gmr,improv_listening,improv_overall,improv_pron,improv_reading,improv_voc,improv_writing,metric_presojournOPI_delta,metric_postsojournOPI_delta,in_degree_weighted,in_degree,out_degree_weighted,out_degree,degree_weighted,degree,betweenness_weighted,betweenness,closeness,pagerank_weighhted,pagerank,voterank,clustering_coefficient
1,0.8,male,0.7272727272727273,0.5454545454545454,0.18181818181818182,15.0,21.0,0.08333333333333333,1.0,0.3333333333333333,0.7,0.8,1.0,9.0,97.0,6.4,2.1,7.1,1.4,6.2,1.8,6.6,1.4,11.0,1.0,0.8,1.0,0.8,0.4,0.6,1.0,0.6,-96.45454545454545,-96.27272727272727,1.0,1,1.6,2,2.6,3,0.0,0.0,0.0841995841995842,0.017707034447279224,0.015457473789963016,15.0,0.5
2,0.9473684210526315,male,0.6363636363636364,0.36363636363636365,0.2727272727272727,6.0,12.0,0.14583333333333334,0.8,0.6666666666666666,0.7,,5.0,0.0,86.7,5.7,1.8,5.3,2.2,4.8,2.2,4.6,2.4,3.0,0.8,0.4,0.4,0.4,0.6,0.6,0.6,0.6,-86.33636363636364,-86.06363636363636,2.8000000000000003,4,2.0,4,4.800000000000001,8,0.03528528528528529,0.037162162162162164,0.13682432432432434,0.03667710093258938,0.0338526066858784,16.0,0.36
3,1.0,male,0.6363636363636364,0.36363636363636365,0.2727272727272727,3.0,9.0,0.125,0.8,0.6666666666666666,0.5,0.6,4.0,1.0,87.0,5.7,1.8,5.3,2.2,4.9,2.1,4.7,2.3,0.0,0.8,0.8,0.8,0.8,0.6,0.8,0.8,0.8,-86.63636363636364,-86.36363636363636,0.4,1,3.0,5,3.4,6,0.08558558558558559,0.0852102102102102,0.07507507507507508,0.014616568586352099,0.01613334077489302,1.0,0.03333333333333333
4,0.2,female,0.5454545454545454,0.45454545454545453,0.09090909090909091,6.0,12.0,0.0625,0.6,1.0,0.9,0.8,7.0,2.0,79.6,5.2,1.3,4.2,2.3,5.1,0.9,4.6,1.4,3.0,0.4,0.4,0.4,0.4,0.6,0.4,0.4,0.4,-79.14545454545454,-79.05454545454545,0.0,0,1.8,2,1.8,2,0.0,0.0,0.0,0.009686876909030157,0.009563835458362657,6.0,0.0
5,0.5555555555555556,male,0.6363636363636364,0.6363636363636364,0.0,3.0,9.0,0.20833333333333334,1.0,0.6666666666666666,0.6,1.0,1.0,6.0,96.2,6.3,1.2,7.0,0.5,6.7,0.3,7.0,0.0,0.0,1.0,0.8,0.6,1.0,0.6,0.8,1.0,1.0,-95.56363636363636,-95.56363636363636,0.6,1,0.6,1,1.2,2,0.0,0.0,0.02702702702702703,0.011745352253696134,0.012273613439166938,17.0,0.5
6,0.3333333333333333,female,0.5454545454545454,0.45454545454545453,0.09090909090909091,5.0,11.0,0.08333333333333333,0.8,1.0,0.5,0.4,3.0,2.0,86.1,5.6,0.9,5.2,1.3,5.3,0.7,5.1,0.9,2.0,1.0,0.4,0.8,0.6,0.6,0.6,0.4,0.8,-85.64545454545454,-85.55454545454545,2.1999999999999997,4,0.0,0,2.1999999999999997,4,0.0,0.0,0.13513513513513514,0.0359506757125934,0.034380804721415914,,0.6666666666666666
7,0.3333333333333333,male,0.6363636363636364,0.45454545454545453,0.18181818181818182,8.0,14.0,0.24305555555555555,1.0,0.3333333333333333,0.75,0.6,4.0,6.0,86.5,5.7,1.8,5.3,2.2,5.3,1.7,5.1,1.9,5.0,0.4,0.4,0.4,0.6,0.6,0.8,0.8,0.6,-86.04545454545455,-85.86363636363636,1.2,3,0.0,0,1.2,3,0.0,0.0,0.12319296040226274,0.025911147146526266,0.028662395604046556,,0.0
8,0.21052631578947367,female,0.6363636363636364,0.45454545454545453,0.18181818181818182,6.0,12.0,0.052083333333333336,0.8,1.0,0.75,0.6,3.0,3.0,92.0,6.0,1.5,6.2,1.29,5.5,1.5,5.6,1.4,2.0,1.0,0.0,0.4,0.8,0.6,0.2,0.6,0.8,-91.54545454545455,-91.36363636363636,0.6,1,1.0,2,1.6,3,0.08258258258258258,0.08258258258258258,0.0841995841995842,0.014498971431979597,0.015457473789963016,,0.0
9,0.9473684210526315,female,0.7272727272727273,0.36363636363636365,0.36363636363636365,8.5,14.5,0.125,0.6,0.6666666666666666,0.6,0.8,1.0,8.0,95.4,6.3,2.2,6.8,1.7,5.1,2.9,5.4,2.6,5.5,0.8,0.4,0.4,0.6,0.6,0.6,0.8,0.6,-95.03636363636365,-94.67272727272727,2.4000000000000004,3,0.0,0,2.4000000000000004,3,0.0,0.0,0.08648648648648649,0.02485465496436439,0.022729893565659957,,0.0
10,,female,0.45454545454545453,0.36363636363636365,0.09090909090909091,3.0,9.0,0.1388888888888889,1.0,1.0,0.75,0.8,7.0,20.0,77.0,5.0,0.5,3.7,1.8,4.5,0.5,3.9,1.1,0.0,0.8,0.8,0.6,0.6,0.6,0.6,0.8,1.0,-76.63636363636364,-76.54545454545455,1.0,1,1.8,2,2.8,3,0.0007507507507507507,0.0007507507507507507,0.02702702702702703,0.01835422275486806,0.016632893108850324,8.0,0.0
