,source,target,weight
0,1,30,1
1,1,8,3
2,1,24,4
3,1,14,2
4,1,10,5
5,2,39,1
6,2,37,3
7,2,28,4
8,2,6,2
9,2,19,5
10,4,31,1
11,4,29,3
12,4,11,4
13,4,17,2
14,4,15,5
15,5,13,1
16,5,12,3
17,5,15,4
18,5,26,2
19,5,32,5
20,6,2,1
21,6,39,3
22,6,33,4
23,6,19,2
24,6,29,5
25,7,21,1
26,7,33,3
27,7,37,4
28,7,20,2
29,7,40,5
30,8,1,1
31,8,30,3
32,8,18,4
33,8,14,2
34,9,41,1
35,9,38,3
36,9,23,4
37,9,24,2
38,9,10,5
39,10,24,1
40,10,41,3
41,10,9,4
42,10,23,2
43,12,26,1
44,12,27,3
45,12,32,4
46,12,40,2
47,12,5,5
48,13,5,1
49,13,27,3
50,13,26,4
51,13,3,2
52,13,12,5
53,14,1,1
54,14,8,3
55,14,28,4
56,14,30,2
57,14,2,5
58,15,2,1
59,15,3,3
60,15,40,4
61,15,27,2
62,15,35,5
63,16,36,1
64,16,11,3
65,16,28,2
66,18,5,1
67,18,11,3
68,18,26,4
69,18,13,2
70,18,32,5
71,19,29,1
72,19,6,3
73,19,2,4
74,19,39,2
75,19,37,5
76,20,21,1
77,20,24,3
78,20,7,2
79,21,7,1
80,21,40,3
81,21,20,2
82,22,5,1
83,22,36,3
84,22,26,4
85,22,12,2
86,22,25,5
87,23,41,1
88,23,24,3
89,23,10,4
90,23,9,2
91,24,41,1
92,24,10,3
93,24,34,4
94,24,9,2
95,24,23,5
96,25,40,1
97,25,3,3
98,25,32,4
99,25,27,2
100,26,12,1
101,26,27,3
102,26,32,4
103,26,5,2
104,27,5,1
105,27,12,3
106,27,32,4
107,27,26,2
108,27,15,5
109,28,37,1
110,28,35,3
111,28,16,4
112,28,2,2
113,28,31,5
114,29,19,1
115,29,6,3
116,29,2,4
117,29,39,2
118,29,33,5
119,30,1,1
120,30,14,3
121,30,8,2
122,31,4,1
123,31,11,3
124,31,35,4
125,31,17,2
126,32,27,1
127,32,3,3
128,32,26,4
129,32,34,2
130,32,12,5
131,33,37,1
132,33,6,3
133,33,2,4
134,33,7,2
135,33,29,5
136,34,38,1
137,34,29,3
138,34,15,4
139,34,24,2
140,34,26,5
141,35,32,1
142,35,15,3
143,35,3,4
144,35,27,2
145,35,32,5
146,36,16,1
147,36,18,3
148,36,11,4
149,36,22,2
150,37,2,1
151,37,33,3
152,37,28,4
153,37,39,2
154,37,6,5
155,38,34,1
156,38,10,3
157,38,9,2
158,39,19,1
159,39,6,3
160,39,2,4
161,39,29,2
162,39,37,5
163,40,25,1
164,40,26,3
165,40,15,4
166,40,12,2
167,40,35,5
168,41,9,1
169,41,23,3
170,41,24,2
