,source,target,direction,intensity,lang_usage
0,1,19,out,3,0
1,1,30,in,5,4
2,1,38,out,1,0
3,1,13,out,1,0
4,1,31,out,3,0
5,1,2,in,3,0
6,1,35,in,4,0
7,1,22,out,1,0
8,1,39,out,3,0
9,1,3,out,3,0
10,1,27,out,3,0
11,1,5,out,3,0
12,1,12,out,2,0
13,1,26,out,3,0
14,1,29,out,0,0
15,1,33,out,1,0
16,1,4,out,1,0
17,1,25,out,4,0
18,1,32,out,2,0
19,1,34,out,4,0
20,1,7,out,1,0
21,1,6,out,2,0
22,1,10,in,4,0
23,1,21,out,1,0
24,1,24,out,4,0
25,1,37,out,0,0
26,1,11,in,4,0
27,1,14,in,5,3
28,1,18,out,4,0
29,1,28,out,2,0
30,1,16,out,0,0
31,1,36,out,0,0
32,1,8,out,5,2
33,1,20,out,1,0
34,1,41,out,2,0
35,1,40,in,3,0
36,1,23,out,2,0
37,1,17,out,0,0
38,1,15,in,3,0
39,2,19,out,3,3
40,2,30,out,3,4
41,2,13,in,0,0
42,2,31,out,3,2
43,2,35,in,4,2
44,2,22,out,1,0
45,2,39,out,4,3
46,2,3,in,2,0
47,2,27,out,1,0
48,2,5,in,1,0
49,2,12,out,1,0
50,2,29,out,3,1
51,2,33,in,3,0
52,2,4,in,5,0
53,2,25,in,2,0
54,2,7,out,0,0
55,2,6,in,5,3
56,2,10,out,2,0
57,2,24,in,1,0
58,2,37,in,4,0
59,2,11,in,2,0
60,2,14,in,3,3
61,2,9,in,1,0
62,2,18,in,1,0
63,2,28,in,5,3
64,2,16,out,2,0
65,2,36,in,1,0
66,2,1,out,3,5
67,2,8,out,0,0
68,2,20,out,1,0
69,2,40,out,2,0
70,2,23,out,1,0
71,2,17,in,1,0
72,2,15,in,4,1
73,3,19,out,1,5
74,3,30,out,1,7
75,3,38,in,0,1
76,3,13,out,3,4
77,3,31,out,1,4
78,3,2,out,2,4
79,3,35,out,5,4
80,3,22,out,2,1
81,3,39,out,1,6
82,3,27,out,5,3
83,3,5,in,4,3
84,3,12,in,3,3
85,3,26,out,3,3
86,3,29,in,0,5
87,3,33,in,3,4
88,3,4,in,1,4
89,3,25,out,4,7
90,3,32,in,5,4
91,3,34,in,3,5
92,3,7,out,1,1
93,3,6,in,2,2
94,3,10,in,2,4
95,3,21,out,4,7
96,3,24,out,2,5
97,3,37,in,2,6
98,3,11,in,2,5
99,3,14,out,2,5
100,3,9,in,1,4
101,3,18,in,3,5
102,3,28,in,1,5
103,3,16,out,1,5
104,3,36,out,2,5
105,3,1,out,2,6
106,3,8,out,4,8
107,3,20,out,4,8
108,3,41,in,2,5
109,3,40,out,4,8
110,3,23,out,1,3
111,3,17,in,2,5
112,3,15,in,5,3
113,4,19,out,1,1
114,4,13,out,3,7
115,4,31,out,4,4
116,4,2,out,3,1
117,4,35,out,2,1
118,4,39,out,1,2
119,4,27,out,3,6
120,4,5,in,1,1
121,4,26,in,2,1
122,4,29,out,3,1
123,4,33,in,0,2
124,4,25,out,3,2
125,4,32,in,3,1
126,4,34,in,4,6
127,4,7,out,1,1
128,4,6,out,1,1
129,4,10,out,1,1
130,4,24,out,3,8
131,4,37,out,2,1
132,4,11,out,2,1
133,4,14,out,1,2
134,4,18,in,0,1
135,4,28,in,1,2
136,4,1,out,1,1
137,4,40,out,2,1
138,4,23,out,0,1
139,4,17,in,3,4
140,4,15,in,4,4
141,5,19,out,3,0
142,5,30,out,2,0
143,5,38,out,2,0
144,5,13,out,5,1
145,5,31,out,1,0
146,5,2,out,2,0
147,5,35,in,1,0
148,5,22,out,5,0
149,5,39,out,1,0
150,5,3,out,4,2
151,5,27,out,5,0
152,5,12,out,5,8
153,5,26,out,5,7
154,5,29,out,3,0
155,5,33,in,3,0
156,5,4,out,2,0
157,5,25,out,5,0
158,5,32,out,5,0
159,5,34,out,1,0
160,5,10,out,3,0
161,5,21,out,0,0
162,5,24,out,3,0
163,5,11,in,3,0
164,5,14,in,4,2
165,5,9,out,0,0
166,5,18,mutual,5,1
167,5,28,out,1,0
168,5,16,out,1,0
169,5,36,in,1,0
170,5,1,out,3,0
171,5,8,out,2,1
172,5,20,out,2,0
173,5,41,out,5,9
174,5,40,out,5,0
175,5,23,in,2,0
176,5,17,out,2,0
177,5,15,in,5,0
178,6,40,mutual,5,3
179,7,2,in,1,0
180,7,3,in,1,0
181,7,12,in,0,0
182,7,26,in,0,0
183,7,29,in,1,0
184,7,25,in,1,0
185,7,34,out,3,0
186,7,10,in,2,0
187,7,21,in,5,1
188,7,24,in,1,0
189,7,11,in,2,0
190,7,14,in,4,0
191,7,9,in,3,0
192,7,16,in,1,0
193,7,1,in,1,0
194,7,8,out,1,0
195,7,20,in,5,1
196,7,41,out,4,0
197,7,40,out,3,0
198,7,23,out,1,0
199,7,17,in,2,0
200,7,15,out,5,0
201,8,13,out,1,2
202,8,2,in,1,0
203,8,3,mutual,3,5
204,8,5,in,2,0
205,8,25,in,3,4
206,8,10,in,2,0
207,8,24,in,2,0
208,8,11,in,1,0
209,8,14,mutual,5,3
210,8,9,in,1,0
211,8,18,out,3,2
212,8,1,mutual,5,2
213,8,40,mutual,5,4
214,9,30,out,2,0
215,9,38,out,4,0
216,9,2,out,1,0
217,9,33,out,1,0
218,9,32,in,3,5
219,9,34,in,3,2
220,9,7,out,3,0
221,9,10,in,3,0
222,9,21,out,1,0
223,9,24,mutual,4,2
224,9,37,out,1,0
225,9,11,in,2,0
226,9,14,in,3,0
227,9,18,mutual,3,6
228,9,28,out,1,0
229,9,16,mutual,3,6
230,9,36,mutual,3,5
231,9,1,out,2,0
232,9,20,out,2,0
233,9,41,mutual,5,1
234,9,40,in,1,0
235,9,23,mutual,4,1
236,9,15,out,1,0
237,10,19,in,0,0
238,10,30,in,1,0
239,10,38,in,3,2
240,10,13,out,2,0
241,10,31,out,1,0
242,10,2,in,1,0
243,10,35,out,1,0
244,10,22,out,0,0
245,10,39,in,2,4
246,10,3,out,1,0
247,10,27,in,3,2
248,10,5,in,2,0
