,source,target,direction,intensity,lang_usage
10,1,14,in,5,3
23,1,30,in,5,4
39,2,39,out,4,3
43,2,6,in,5,3
46,2,14,in,3,3
51,2,19,out,3,3
54,2,1,out,3,5
59,2,30,out,3,4
61,2,28,in,5,3
73,3,32,in,5,4
75,3,34,in,3,5
77,3,8,out,4,8
78,3,27,out,5,3
85,3,33,in,3,4
87,3,15,in,5,3
89,3,25,out,4,7
94,3,26,out,3,3
95,3,35,out,5,4
96,3,21,out,4,7
97,3,12,in,3,3
99,3,18,in,3,5
105,3,5,in,4,3
110,3,40,out,4,8
111,3,13,out,3,4
112,3,20,out,4,8
115,4,34,in,4,6
116,4,27,out,3,6
123,4,31,out,4,4
124,4,15,in,4,4
133,4,17,in,3,4
136,4,24,out,3,8
140,4,13,out,3,7
144,5,41,out,5,9
160,5,26,out,5,7
163,5,12,out,5,8
178,6,40,mutual,5,3
202,8,14,mutual,5,3
203,8,25,in,3,4
211,8,3,mutual,3,5
212,8,40,mutual,5,4
214,9,32,in,3,5
223,9,36,mutual,3,5
226,9,18,mutual,3,6
229,9,16,mutual,3,6
237,10,32,in,3,3
246,10,11,in,4,4
254,10,9,out,5,3
256,10,36,out,3,5
263,10,18,out,3,5
266,10,16,out,3,4
271,10,24,out,5,3
349,14,39,in,5,3
352,14,8,out,5,4
355,14,6,in,4,3
360,14,31,in,5,4
362,14,19,in,4,3
365,14,1,in,5,4
368,14,35,in,4,4
371,14,30,in,5,5
373,14,28,in,5,4
390,15,27,out,3,3
414,15,17,in,5,3
427,16,11,in,3,4
430,16,36,mutual,3,5
433,16,18,in,3,7
439,16,40,mutual,5,5
450,18,11,in,5,3
469,18,16,in,4,4
475,18,23,in,3,4
476,18,10,in,3,5
481,19,39,out,5,4
487,19,6,in,5,3
490,19,14,out,4,3
493,19,31,out,4,3
497,19,1,out,4,3
500,19,35,out,4,3
503,19,30,out,4,3
505,19,28,in,4,3
508,19,2,in,5,3
518,20,34,out,4,3
520,20,8,out,3,4
532,20,25,in,4,3
539,20,21,in,5,3
544,20,7,out,5,3
553,20,3,in,3,4
554,20,40,out,3,3
559,21,8,out,3,5
567,21,25,out,4,4
588,21,20,out,4,3
593,22,27,in,5,3
597,22,14,in,4,3
608,22,26,mutual,5,4
611,22,12,mutual,5,4
619,22,5,mutual,5,4
628,23,32,mutual,3,5
635,23,11,in,3,5
640,23,9,mutual,4,3
642,23,36,mutual,3,4
644,23,18,mutual,3,5
646,23,16,mutual,3,3
655,24,34,out,5,3
688,24,10,in,5,4
697,25,8,out,3,7
703,25,14,in,3,3
715,25,21,in,3,3
729,25,3,in,3,5
730,25,40,in,4,5
732,25,20,in,3,5
745,26,40,mutual,5,6
747,27,40,mutual,5,7
749,28,39,in,4,5
753,28,6,mutual,4,4
755,28,14,out,3,8
757,28,31,out,3,5
759,28,1,in,3,6
763,28,35,out,3,5
765,28,30,out,3,7
766,28,18,out,4,3
767,28,16,out,5,5
768,28,17,out,3,3
769,28,2,out,5,3
774,28,40,mutual,5,3
810,30,40,mutual,5,8
838,31,40,mutual,5,5
850,32,18,out,5,3
854,32,10,mutual,3,8
866,33,37,mutual,5,5
885,33,7,out,5,6
952,36,32,out,4,7
955,36,11,in,4,6
958,36,9,out,4,8
964,36,16,out,5,5
968,36,10,out,4,8
971,36,13,in,3,3
973,37,39,mutual,3,5
982,37,33,mutual,5,5
999,37,2,mutual,4,4
1002,37,10,mutual,3,5
1007,38,34,mutual,5,5
1009,38,37,mutual,4,5
1012,38,33,mutual,4,5
1015,38,9,mutual,5,5
1018,38,7,mutual,4,5
1023,38,20,mutual,3,5
1030,39,6,out,5,7
1031,39,37,out,4,6
1033,39,14,out,4,7
1036,39,31,in,4,7
1038,39,19,out,5,6
1040,39,9,in,3,4
1041,39,1,out,4,7
1045,39,35,in,4,7
1046,39,21,in,3,3
1048,39,30,out,4,8
1050,39,28,in,4,6
1054,39,2,out,5,4
1057,39,24,out,3,4
1058,39,23,out,3,4
1059,39,10,out,3,4
1080,40,25,mutual,4,3
1085,40,26,mutual,5,5
