,source,target,weight
0,1,8,0.6
1,1,30,1.0
2,1,24,0.4
3,1,14,0.8
4,1,10,0.2
5,2,37,0.6
6,2,39,1.0
7,2,28,0.4
8,2,6,0.8
9,2,19,0.2
10,3,35,0.6
11,3,32,1.0
12,3,25,0.4
13,3,27,0.8
14,3,26,0.2
15,4,29,0.6
16,4,31,1.0
17,4,11,0.4
18,4,17,0.8
19,4,15,0.2
20,5,12,0.6
21,5,13,1.0
22,5,15,0.4
23,5,26,0.8
24,5,32,0.2
25,6,39,0.6
26,6,2,1.0
27,6,33,0.4
28,6,19,0.8
29,6,29,0.2
30,7,33,0.6
31,7,21,1.0
32,7,37,0.4
33,7,20,0.8
34,7,40,0.2
35,8,30,0.6
36,8,1,1.0
37,8,18,0.4
38,8,14,0.8
39,9,38,0.6
40,9,41,1.0
41,9,23,0.4
42,9,24,0.8
43,9,10,0.2
44,10,41,0.6
45,10,24,1.0
46,10,9,0.4
47,10,23,0.8
48,12,27,0.6
49,12,26,1.0
50,12,32,0.4
51,12,40,0.8
52,12,5,0.2
53,13,27,0.6
54,13,5,1.0
55,13,26,0.4
56,13,3,0.8
57,13,12,0.2
58,14,8,0.6
59,14,1,1.0
60,14,28,0.4
61,14,30,0.8
62,14,2,0.2
63,15,3,0.6
64,15,2,1.0
65,15,40,0.4
66,15,27,0.8
67,15,35,0.2
68,16,11,0.6
69,16,36,1.0
70,16,28,0.8
71,18,11,0.6
72,18,5,1.0
73,18,26,0.4
74,18,13,0.8
75,18,32,0.2
76,19,6,0.6
77,19,29,1.0
78,19,2,0.4
79,19,39,0.8
80,19,37,0.2
81,20,24,0.6
82,20,21,1.0
83,20,7,0.8
84,21,40,0.6
85,21,7,1.0
86,21,20,0.8
87,22,36,0.6
88,22,5,1.0
89,22,26,0.4
90,22,12,0.8
91,22,25,0.2
92,23,24,0.6
93,23,41,1.0
94,23,10,0.4
95,23,9,0.8
96,24,10,0.6
97,24,41,1.0
98,24,34,0.4
99,24,9,0.8
100,24,23,0.2
101,25,3,0.6
102,25,40,1.0
103,25,32,0.4
104,25,27,0.8
105,26,27,0.6
106,26,12,1.0
107,26,32,0.4
108,26,5,0.8
109,27,12,0.6
110,27,5,1.0
111,27,32,0.4
112,27,26,0.8
113,27,15,0.2
114,28,35,0.6
115,28,37,1.0
116,28,16,0.4
117,28,2,0.8
118,28,31,0.2
119,29,6,0.6
120,29,19,1.0
121,29,2,0.4
122,29,39,0.8
123,29,33,0.2
124,30,14,0.6
125,30,1,1.0
126,30,8,0.8
127,31,11,0.6
128,31,4,1.0
129,31,35,0.4
130,31,17,0.8
131,32,3,0.6
132,32,27,1.0
133,32,26,0.4
134,32,34,0.8
135,32,12,0.2
136,33,6,0.6
137,33,37,1.0
138,33,2,0.4
139,33,7,0.8
140,33,29,0.2
141,34,29,0.6
142,34,38,1.0
143,34,15,0.4
144,34,24,0.8
145,34,26,0.2
146,35,15,0.6
147,35,32,1.0
148,35,3,0.4
149,35,27,0.8
150,35,32,0.2
151,36,18,0.6
152,36,16,1.0
153,36,11,0.4
154,36,22,0.8
155,37,33,0.6
156,37,2,1.0
157,37,28,0.4
158,37,39,0.8
159,37,6,0.2
160,38,10,0.6
161,38,34,1.0
162,38,9,0.8
163,39,6,0.6
164,39,19,1.0
165,39,2,0.4
166,39,29,0.8
167,39,37,0.2
168,40,26,0.6
169,40,25,1.0
170,40,15,0.4
171,40,12,0.8
172,40,35,0.2
173,41,23,0.6
174,41,9,1.0
175,41,24,0.8
